33,39,-46
33,39,-56
34,40,-56
34,41,-56
35,42,-56
35,43,-56
36,44,-56
36,45,-56
36,46,-56
35,46,-56
34,46,-56
33,46,-56
32,45,-56
31,44,-56
30,43,-56
29,42,-56
28,41,-56
27,40,-56
26,39,-56
25,38,-56
25,37,-56
24,36,-56
23,35,-56
22,35,-56
22,35,-46
19,37,-46
19,37,-56
18,36,-56
17,36,-56
16,35,-56
15,35,-56
14,35,-56
13,34,-56
12,34,-56
11,34,-56
10,33,-56
9,33,-56
8,32,-56
7,32,-56
6,31,-56
5,30,-56
4,29,-56
4,28,-56
3,27,-56
4,26,-56
4,25,-56
5,25,-56
6,24,-56
7,24,-56
8,23,-56
9,23,-56
10,23,-56
11,24,-56
12,24,-56
13,24,-56
14,25,-56
15,25,-56
16,25,-56
17,26,-56
18,26,-56
19,26,-56
20,27,-56
21,27,-56
22,28,-56
23,28,-56
24,28,-56
25,29,-56
26,29,-56
27,29,-56
28,30,-56
29,30,-56
30,31,-56
31,31,-56
32,31,-56
33,32,-56
34,32,-56
35,32,-56
36,33,-56
37,33,-56
38,33,-56
39,33,-56
40,33,-56
41,33,-56
42,33,-56
43,33,-56
44,32,-56
45,32,-56
46,31,-56
47,31,-56
48,30,-56
49,30,-56
50,29,-56
51,29,-56
52,28,-56
53,28,-56
54,27,-56
55,28,-56
56,28,-56
57,29,-56
58,29,-56
58,30,-56
58,31,-56
57,32,-56
56,33,-56
55,34,-56
55,35,-56
54,36,-56
53,37,-56
52,38,-56
52,39,-56
52,40,-56
52,41,-56
52,42,-56
52,43,-56
52,44,-56
52,45,-56
51,45,-56
50,45,-56
49,45,-56
48,45,-56
47,45,-56
46,45,-56
45,45,-56
44,44,-56
43,44,-56
42,44,-56
41,44,-56
40,43,-56
40,43,-46
